"Month","Passengers"
2009-01-31,112
2009-02-28,118
2009-03-31,132
2009-04-30,129
2009-05-31,121
2009-06-30,135
2009-07-31,148
2009-08-31,148
2009-09-30,136
2009-10-31,119
2009-11-30,104
2009-12-31,118
2010-01-31,115
2010-02-28,126
2010-03-31,141
2010-04-30,135
2010-05-31,125
2010-06-30,149
2010-07-31,170
2010-08-31,170
2010-09-30,158
2010-10-31,133
2010-11-30,114
2010-12-31,140
2011-01-31,145
2011-02-28,150
2011-03-31,178
2011-04-30,163
2011-05-31,172
2011-06-30,178
2011-07-31,199
2011-08-31,199
2011-09-30,184
2011-10-31,162
2011-11-30,146
2011-12-31,166
2012-01-31,171
2012-02-29,180
2012-03-31,193
2012-04-30,181
2012-05-31,183
2012-06-30,218
2012-07-31,230
2012-08-31,242
2012-09-30,209
2012-10-31,191
2012-11-30,172
2012-12-31,194
2013-01-31,196
2013-02-28,196
2013-03-31,236
2013-04-30,235
2013-05-31,229
2013-06-30,243
2013-07-31,264
2013-08-31,272
2013-09-30,237
2013-10-31,211
2013-11-30,180
2013-12-31,201
2014-01-31,204
2014-02-28,188
2014-03-31,235
2014-04-30,227
2014-05-31,234
2014-06-30,264
2014-07-31,302
2014-08-31,293
2014-09-30,259
2014-10-31,229
2014-11-30,203
2014-12-31,229
2015-01-31,242
2015-02-28,233
2015-03-31,267
2015-04-30,269
2015-05-31,270
2015-06-30,315
2015-07-31,364
2015-08-31,347
2015-09-30,312
2015-10-31,274
2015-11-30,237
2015-12-31,278
2016-01-31,284
2016-02-29,277
2016-03-31,317
2016-04-30,313
2016-05-31,318
2016-06-30,374
2016-07-31,413
2016-08-31,405
2016-09-30,355
2016-10-31,306
2016-11-30,271
2016-12-31,306
2017-01-31,315
2017-02-28,301
2017-03-31,356
2017-04-30,348
2017-05-31,355
2017-06-30,422
2017-07-31,465
2017-08-31,467
2017-09-30,404
2017-10-31,347
2017-11-30,305
2017-12-31,336
2018-01-31,340
2018-02-28,318
2018-03-31,362
2018-04-30,348
2018-05-31,363
2018-06-30,435
2018-07-31,491
2018-08-31,505
2018-09-30,404
2018-10-31,359
2018-11-30,310
2018-12-31,337
2019-01-31,360
2019-02-28,342
2019-03-31,406
2019-04-30,396
2019-05-31,420
2019-06-30,472
2019-07-31,548
2019-08-31,559
2019-09-30,463
2019-10-31,407
2019-11-30,362
2019-12-31,405
2020-01-31,417
2020-02-29,391
2020-03-31,419
2020-04-30,461
2020-05-31,472
2020-06-30,535
2020-07-31,622
2020-08-31,606
2020-09-30,508
2020-10-31,461
2020-11-30,390
2020-12-31,432
